createdAt;chargeLevelPercent;houseLoadPowerW;batteryVoltageV;dischargingCurrentA
Mon Feb 05 2024 13:46:32 GMT+0000 (Coordinated Universal Time);95;6;53.9;0
Mon Feb 05 2024 13:46:38 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:46:43 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:46:48 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:46:55 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:47:04 GMT+0000 (Coordinated Universal Time);95;3;54.1;0
Mon Feb 05 2024 13:48:51 GMT+0000 (Coordinated Universal Time);95;0;54.5;0
Mon Feb 05 2024 13:48:57 GMT+0000 (Coordinated Universal Time);95;0;54.3;0
Mon Feb 05 2024 13:49:05 GMT+0000 (Coordinated Universal Time);95;0;54.3;0
Mon Feb 05 2024 13:49:09 GMT+0000 (Coordinated Universal Time);95;0;54.3;0
Mon Feb 05 2024 13:49:11 GMT+0000 (Coordinated Universal Time);95;0;54.3;0
Mon Feb 05 2024 13:49:16 GMT+0000 (Coordinated Universal Time);95;0;54.3;0
Mon Feb 05 2024 13:49:22 GMT+0000 (Coordinated Universal Time);95;0;54.3;0
Mon Feb 05 2024 13:49:27 GMT+0000 (Coordinated Universal Time);95;0;54.3;0
Mon Feb 05 2024 13:49:33 GMT+0000 (Coordinated Universal Time);95;0;54.2;0
Mon Feb 05 2024 13:49:38 GMT+0000 (Coordinated Universal Time);95;0;54.2;0
Mon Feb 05 2024 13:49:44 GMT+0000 (Coordinated Universal Time);95;0;54.3;0
Mon Feb 05 2024 13:49:49 GMT+0000 (Coordinated Universal Time);95;0;54.5;0
Mon Feb 05 2024 13:51:41 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:51:46 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
Mon Feb 05 2024 13:51:52 GMT+0000 (Coordinated Universal Time);95;0;54.4;0
